index,PID,Tg
1549,P124411,292
1550,P402237,290
1551,P370036,160
1552,P010092,132
1553,P020019,118
1554,P370308,216
1555,P030179,86
1556,P070002,-21.54
1557,P070623,30
1558,P160076,394.85
1559,P510011,108
1561,P460250,385
1562,P430498,273.5
1563,P094250,152
1564,P440015,176.9625
1565,P430450,263
1566,P130009,135
1567,P402190,275
1568,P370850,147
1569,P050013,-18.29827586
1570,P432164,317
1571,P100124,65
1572,P372491,252
1573,P030123,27
1574,P342197,43
1575,P432005,210
1576,P373122,116
1577,P430110,241
1579,P462363,155
1580,P100137,115
1581,P020154,194
1582,P074258,254
1583,P074307,205
1584,P332186,50
1585,P170025,-24
1586,P040250,142
1587,P432892,50
1588,P070701,149.2909091
1589,P020074,77
1590,P342370,141.5
1591,P380104,31
1592,P373359,116
1593,P374127,113.3333333
1594,P370024,312
1595,P433857,270
1596,P130116,276
1597,P342011,29
1598,P392327,33
1599,P430257,190.5
1600,P432206,232
1601,P433617,134
1602,P402371,295
1603,P372517,200
1604,P020181,175.4
1605,P433072,183
1606,P462551,80
1607,P370347,163
1608,P472102,27
1609,P370736,220
1610,P432305,136
1611,P512147,74.5
1612,P020151,148.9015625
1613,P392224,46
1614,P433369,145
1615,P472060,-19.1
1616,P433539,323
1617,P412201,31.9
1618,P433189,62
1619,P430250,219.85
1620,P342158,140
1621,P372143,198
1622,P100288,95
1623,P134364,61
1624,P312006,-68.15
1625,P370635,320
1626,P373055,247
1627,P373440,99
1628,P070711,39
1629,P370741,224
1630,P130197,212.8024752
1631,P342239,152.5
1632,P372058,-13
1633,P330041,74
1634,P370325,-16
1635,P512200,327
1636,P322192,91.5
1638,P432528,115
1639,P370386,324
1640,P370754,65
1641,P433651,265
1642,P382319,127.5
1643,P373299,58
1644,P390214,236.85
1645,P430290,371
1646,P432992,310
1647,P450009,218.6666667
1648,P070076,200.562585
1649,P462495,137
1650,P090296,-7
1651,P370476,188.5
1652,P370803,282
1653,P370719,345
1654,P370598,122
1655,P372251,50
1656,P433087,279
1657,P460263,318
1658,P472207,-28
1659,P070271,45
1660,P433784,232
1661,P450037,34.97950617
1662,P070691,175
1663,P180030,-4
1664,P374040,226
1665,P472278,126
1666,P342508,112
1667,P450081,146
1668,P432086,62
1669,P372597,61.1
1670,P452029,90
1671,P433140,192
1672,P372376,66
1673,P372021,238
1674,P210026,104.93
1675,P433052,340
1676,P392107,46.75
1677,P372139,190
1678,P372048,-39
1679,P433231,220
1680,P430147,284
1681,P372070,-13
1682,P070181,34
1683,P130080,334.4545455
1684,P370437,144.25
1685,P472172,55.7
1686,P370646,102
1687,P373103,108
1688,P452017,42
1689,P372497,269
1690,P370679,158
1691,P373236,275
1692,P090171,-46
1693,P432140,210
1694,P362031,118.4333333
1695,P433461,363
1696,P040040,-45
1697,P312009,-72.15
1698,P100138,225
1699,P472162,39.2
1700,P040228,5.9625
1701,P150011,140.0560217
1702,P430284,208
1703,P430331,315.5
1704,P090172,-1
1705,P110232,30
1706,P432113,333
1707,P433450,201
1708,P433630,271
1709,P370030,130.5
1710,P433474,165
1711,P450084,113
1712,P130338,240.6666667
1713,P370685,202
1714,P352007,84.85
1715,P362011,-60
1716,P433846,284
1717,P390399,113
1718,P370390,111
1719,P433475,161
1720,P094335,129
1721,P412260,49
1722,P433636,365
1723,P370530,228
1724,P070329,-59.075
1725,P390192,287
1726,P370683,210.5
1727,P392038,215
1728,P010081,-74.84615385
1729,P372855,171
1730,P432787,293
1731,P374046,209
1732,P402419,195
1733,P433335,297
1734,P462668,82
1735,P373983,278
1736,P130337,180
1737,P070350,305.85
1738,P322214,74
1739,P433223,325
1740,P402352,300
1741,P100107,90
1742,P430238,136
1743,P342102,51
1744,P342122,84
1745,P370174,131
1746,P462632,105
1747,P472175,9.5
1748,P380131,215
1749,P432302,96
1750,P090271,25
1751,P322212,53
1752,P430225,224
1753,P432081,82
1754,P372411,58
1755,P472058,-45.5
1756,P392252,133
1757,P030024,35.01124402
1758,P074473,235
1759,P373758,120
1760,P433544,264
1761,P374085,117.6666667
1762,P110136,60
1763,P442004,141
1764,P070418,100
1765,P374041,224
1766,P373956,95
1767,P150039,163
1768,P034241,160
1769,P390242,20
1770,P380079,133
1771,P373414,163
1772,P462070,-25
1773,P370374,220.5
1774,P040248,97.5
1775,P090342,109
1776,P100793,268.8333333
1777,P392867,-6
1778,P433863,182
1779,P370599,145
1780,P392810,90
1781,P430487,198
1782,P070349,215.85
1783,P432209,278
1784,P432426,254
1785,P070348,234.85
1786,P433098,207
1787,P432175,83
1788,P090536,169
1789,P372208,70
1790,P432141,167
1791,P432310,70
1792,P432894,257
1793,P433293,314.5
1794,P372848,202
1795,P433620,134
1796,P392236,27
1797,P432340,199
1798,P074315,137.5
1799,P430059,147
1800,P320060,150
1801,P342401,90
1802,P432196,318
1803,P210014,180
1804,P322222,141
1805,P074373,240
1806,P340094,-46.71666667
1807,P370649,71
1808,P430400,338
1809,P090498,143
1810,P460260,378.3333333
1811,P462103,-51
1812,P370117,268
1813,P433029,255
1814,P433861,194
1815,P433419,234
1816,P373700,110
1817,P432996,337
1818,P433095,202
1819,P462488,203.5
1820,P390031,400
1821,P432751,247
1822,P040102,56.96637931
1823,P373603,72
1824,P372490,264
1825,P030109,45
1826,P100132,340
1827,P070284,41
1828,P432228,196
1829,P330042,57
1830,P433073,169
1831,P342753,84.4
1832,P462426,7.5
1833,P070256,4.9
1834,P460227,-2.5
1835,P130313,257.5
1836,P392752,238
1837,P434102,271
1838,P080014,-51.075
1839,P100796,88.125
1840,P432383,202
1841,P432582,331
1842,P110027,168
1843,P040159,131.6666667
1844,P380127,1
1845,P390072,33.5
1846,P402163,338
1847,P100024,47.59332787
1848,P140032,130
1849,P322167,42
1850,P070641,213
1851,P402281,94
1852,P433851,230
1853,P373504,99
1854,P432989,293
1855,P382198,157
1856,P430289,399
1857,P432924,283
1858,P433900,251
1859,P373106,120
1860,P322146,212.5
1861,P372263,20
1862,P432041,103
1863,P433644,339
1864,P382304,56
1865,P100009,41.47325581
1866,P090185,-7.49
1867,P382207,251
1868,P320058,150
1869,P373706,279
1870,P432963,160
1871,P433727,121
1872,P070479,278.75
1873,P400300,49.925
1874,P342009,84
1875,P370648,91
1876,P430344,64
1877,P470126,-70.33333333
1878,P433425,225
1879,P342045,194.425
1880,P070579,150
1881,P160096,127.5
1882,P462342,61
1883,P100693,45
1884,P412272,133
1885,P460008,205
1886,P382412,209.9
1887,P390071,56
1888,P372242,22
1889,P040047,148.8875
1890,P373101,105
1891,P512059,34
1892,P372936,19
1893,P522016,5.85
1894,P332175,127.85
1895,P472245,20
1896,P373064,41
1897,P020091,94
1898,P070598,305
1899,P432320,264.5
1900,P374191,202
1901,P433390,217
1902,P373319,114
1903,P430095,233
1904,P090028,56.26428571
1905,P372084,248
1906,P433206,198
1907,P370810,82
1908,P430069,118
1909,P432184,244
1910,P130220,255
1911,P322093,53
1912,P392868,125
1913,P040307,205
1914,P372145,214
1915,P040215,85
1916,P044383,45.55
1917,P434013,297
1918,P080005,-27
1919,P074317,250.9
1920,P372974,52
1921,P373142,156
1922,P432350,250
1923,P430167,46.71
1924,P010044,-25.43333333
1925,P070077,100
1926,P392124,53.66666667
1927,P402087,260
1928,P373425,6.5
1929,P433492,362.5
1930,P372506,260
1931,P030118,-10
1932,P433353,272
1933,P070584,180
1934,P460005,329
1935,P130048,311
1936,P390135,-66
1937,P430477,274
1938,P392563,117
1939,P020072,50
1940,P412142,140
1941,P090593,313
1942,P402185,240
1943,P460140,266
1944,P402244,230
1945,P070602,351
1946,P020145,114
1947,P374075,127
1948,P512073,170
1949,P432372,232
1950,P433031,247
1951,P430189,146.35
1952,P452016,53
1953,P470062,-26.15
1954,P070367,269.85
1955,P433373,231.6
1956,P372832,240
1957,P373587,94
1958,P373772,201
1959,P372045,-33
1960,P070561,-12.22047619
1961,P070678,139
1962,P090087,-28.825
1963,P432031,325.6666667
1964,P433246,286.1
1965,P432880,370
1966,P433182,342
1967,P373949,209
1968,P433359,293
1969,P370333,207
1970,P332265,114
1971,P402173,188
1972,P432596,290
1973,P070123,-76
1974,P090092,-35.46
1975,P392564,138
1976,P412234,76
1977,P433171,319.5
1978,P380080,121
1979,P433532,275
1980,P342414,144
1981,P430070,107
1982,P070462,223.5
1983,P400327,87
1984,P430089,293
1985,P433472,246
1986,P130002,379.3548387
1987,P432115,303
1988,P392740,207
1989,P370642,-9
1990,P070703,350
1991,P070419,95
1992,P373162,163
1993,P433614,170.25
1994,P460246,354.5
1995,P432672,241
1996,P510054,180
1997,P374137,-122.85
1998,P372328,77
1999,P374178,206
2000,P070468,168.6666667
2001,P100131,274.8571429
2002,P074275,208
2003,P382077,122.3
2004,P070686,18
2005,P372202,155
2006,P020027,124
2007,P433649,273
2008,P090020,-37.18571429
2009,P433541,328
2010,P100064,93
2011,P433831,187.285
2012,P390235,140
2013,P370132,365
2014,P372549,94
2015,P432925,236
2016,P100620,78
2017,P373022,298.2
2018,P402090,250
2019,P370745,277
2020,P020198,114.32
2021,P100015,50
2022,P432207,218
2023,P150047,138
2024,P460248,405
2025,P500041,219.45
2026,P370032,140
2027,P392660,-11
2028,P090113,-10
2029,P070317,177.73
2030,P370793,181
2031,P074399,220
2032,P010040,-56.475
2033,P462085,71
2034,P432661,297.25
2035,P322020,-4.15
2036,P462184,215
2037,P392626,61
2038,P402462,286
2039,P110080,49
2040,P372195,81.26666667
2041,P050043,147
2042,P462623,321
2043,P432260,206
2044,P010070,-79.2875
2045,P430259,249.9230769
2046,P372666,213
2047,P512194,119.0285714
2048,P432580,273
2049,P400135,300
2050,P433490,362
2051,P070693,164
2052,P430469,274
2053,P402219,45
2054,P342193,41
2055,P430356,63
2056,P432557,147
2057,P432029,266
2058,P100130,238
2059,P130226,184
2060,P400271,288
2061,P432745,313
2062,P130014,274
2063,P432385,246.692
2064,P090543,45
2065,P342428,85
2066,P010080,-24.075
2067,P090559,207.5
2068,P430162,76.85
2069,P382548,69
2070,P433228,234
2071,P373558,175
2072,P373443,73
2073,P100139,152
2074,P370676,124
2075,P382447,89
2076,P020157,115.5
2077,P432757,194.8461538
2078,P472269,92
2079,P332160,27.65
2080,P100152,125
2081,P370146,179.145
2082,P372793,168.1
2083,P080117,58
2084,P100127,275.7142857
2085,P432792,210
2086,P433270,212
2087,P430484,343.6666667
2088,P373120,108
2089,P390281,65
2090,P433479,179
2091,P380108,-1
2092,P084392,135
2093,P370836,259
2094,P030089,-5
2095,P432581,271
2096,P070657,-47.075
2097,P020079,40
2098,P050018,41
2099,P100142,148
2100,P100624,92
2101,P373311,140
2102,P070668,159
2103,P433587,384
2104,P373427,17
2105,P340090,15
2106,P512127,227
2107,P434059,195
2108,P090101,-70.66666667
2109,P342515,40
2110,P433631,317
2111,P390056,75
2112,P372151,143
2113,P373657,160
2114,P110236,40
2115,P512128,223
2116,P050006,67.32659574
2117,P442009,142
2118,P412181,202
2119,P372141,204
2120,P373695,-13.2
2121,P434100,142
2122,P100136,132.5
2123,P372852,173
2124,P462546,156
2125,P030125,120
2126,P434057,150
2127,P430314,246
2128,P370306,260
2129,P340026,125.5
2130,P373309,180
2131,P020117,85
2132,P170027,-28
2133,P020115,52
2134,P342494,27.75
2135,P512221,266
2136,P340095,-40.825
2137,P372548,34
2138,P373813,279.3333333
2139,P322128,123.5
2140,P372757,235
2141,P433070,238
2142,P130037,178
2143,P392115,14.25
2144,P432527,130
2145,P462597,169.6666667
2146,P374202,145
2147,P433595,190
2148,P373814,275
2149,P370356,234
2150,P373996,74
2151,P402161,168
2152,P330049,90
2153,P442010,201
2154,P330058,285.5
2155,P430389,204
2156,P070407,60
2157,P130122,230
2158,P372943,16
2159,P040187,103.4285714
2160,P400232,22
2161,P100135,138.2125
2162,P392830,214
2163,P372276,123
2164,P342117,58.125
2165,P070410,65
2166,P189026,159.7222222
2167,P460001,324.85
2168,P402289,254
2169,P360025,-58.15
2170,P433669,237
2171,P400352,110
2172,P370033,145
2173,P070056,-72.54
2174,P100373,160
2175,P170038,-28.5
2176,P362005,105
2177,P522018,52.85
2178,P150009,149
2179,P462431,157
2180,P433249,281.9
2181,P402355,322
2182,P074247,230
2183,P432748,276
2184,P433225,238
2185,P370439,154
2186,P434027,294
2187,P340012,89
2188,P460264,348.3333333
2189,P433769,306
2190,P332447,78
2191,P070690,193
2192,P060025,-61.275
2193,P373919,193.5
2194,P160071,375.85
2195,P472027,-78
2196,P362028,104
2197,P074419,23
2198,P094316,225
2199,P392746,265
2200,P070372,-60
2201,P074433,249
2202,P392733,151
2203,P130049,324
2204,P100141,133.955
2205,P372533,194
2206,P472274,-4
2207,P402038,220
2208,P420001,250
2209,P433974,267
2210,P074257,230
2211,P374132,374
2212,P392711,146
2213,P130350,285
2214,P372830,269
2215,P342485,125
2216,P402488,80
2217,P434083,174
2218,P382210,227
2219,P373225,279
2220,P370403,206
2221,P372059,-17
2222,P390018,234
2223,P432065,19
2224,P380156,79
2225,P430285,466
2226,P522021,61.85
2227,P450061,90.9
2228,P374005,64
2229,P430287,413
2230,P433254,232.3
2231,P432412,400
2232,P430221,198
2233,P342176,174
2234,P522009,62.85
2235,P412211,188
2236,P370834,318
2237,P040237,41
2238,P110104,105.7
2239,P130361,319.3433333
2240,P392567,135
2241,P472044,-86
2242,P472003,-7.825
2243,P382373,158
2244,P390338,143
2245,P020186,103
2246,P370344,143
2247,P472028,-23.45
2248,P370492,278
2249,P373779,26
2250,P390221,141
2251,P500038,86
2252,P370176,74.5
2253,P020020,108
2254,P390248,94.5
2255,P342486,60
2256,P433283,310
2257,P380065,-33
2258,P432127,320
2259,P432185,231
2260,P430156,300
2261,P373431,106
2262,P170022,-75
2263,P390218,266.85
2264,P070601,266
2265,P512238,48
2266,P372134,187
2267,P342042,211.425
2268,P433656,145
2269,P044348,73
2270,P392235,54
2271,P392247,119
2272,P100144,142.5
2273,P370601,223
2274,P412271,127
2275,P070469,156.4
2276,P370653,23.5
2277,P120037,78
2278,P373449,47
2279,P422049,206.5
2280,P342283,89
2281,P462436,70.34
2282,P512129,117.2
2283,P402469,337
2284,P432655,186
2285,P433165,198
2286,P460251,405
2287,P432845,122
2288,P433101,103
2289,P370307,243
2290,P432326,258.5
2291,P362019,53
2292,P432571,228
2293,P430429,364
2294,P030197,16
2295,P104306,230
2296,P110065,6
2297,P370720,350
2298,P373310,155
2299,P400106,303
2300,P390234,168
2301,P074269,247
2302,P030086,-60
2303,P170005,-1.5
2304,P342299,48
2305,P342457,27
2306,P342101,57
2307,P433632,334
2308,P432256,313
2309,P390222,181
2310,P433772,331
2311,P180002,-87.33333333
2312,P320063,13
2313,P430247,231.85
2314,P432738,245
2315,P432984,252
2316,P090029,48.99570313
2317,P402481,326
2318,P370158,134
2319,P372042,150
2320,P402171,201
2321,P374211,272
2322,P370335,207
2323,P382499,-51
2324,P372418,23
2325,P074445,169
2326,P164495,48
2327,P430459,274
2328,P432182,253
2329,P372310,89
2330,P090377,-60.5
2331,P372784,100
2332,P432969,237
2333,P373693,5.2
2334,P373653,268
2335,P432339,222
2336,P430490,311
2337,P512157,58
2338,P402282,75
2339,P432624,76
2340,P432304,116
2341,P432112,320
2342,P432433,224.5
2343,P100337,116
2344,P373518,150
2345,P090173,66.5
2346,P342098,36
2347,P432671,245
2348,P180003,-92.03
2349,P432300,81
2350,P070505,11.42857143
2351,P180027,-78
2352,P370321,123
2353,P373656,247
2354,P392234,30
2355,P434031,257
2356,P372125,228
2357,P373808,49.9
2358,P392106,67
2359,P432139,286
2360,P373840,100
2361,P342171,45
2362,P430274,186
2363,P020088,127
2364,P382419,131
2365,P030046,67
2366,P402498,233
2367,P430223,132
2368,P432560,291
2369,P170029,-38
2370,P372108,62
2371,P170049,-72
2372,P374213,271
2373,P412005,72
2374,P432114,334
2375,P432988,266
2376,P370399,105
2377,P402007,302
2378,P090163,7
2379,P170074,-135.0375
2380,P030080,-66
2381,P372103,180
2382,P402440,134.1
2383,P372113,171
2384,P373186,60.85
2385,P432121,-9
2386,P020049,-27.075
2387,P342326,137
2388,P372395,27
2389,P373548,144.5
2390,P512083,134
2391,P100212,47
2392,P372200,131.5
2393,P452028,162
2394,P434088,231
2395,P110233,85
2396,P040246,-15
2397,P372690,105
2398,P434105,248
2399,P130047,370
2400,P432484,349.85
2401,P422019,217
2402,P322139,59
2403,P373220,245.4
2404,P432424,210
2405,P432453,135
2406,P020094,76
2407,P090064,269.5
2408,P452004,184
2409,P460213,27
2410,P040172,15
2411,P373040,53
2412,P090441,-27
2413,P430158,302
2414,P390050,194
2415,P342399,116
2416,P373026,243
2417,P430506,314
2418,P500034,73
2419,P432837,140
2420,P392206,42
2421,P370849,138
2422,P074407,231
2423,P040067,108.85
2424,P104435,165
2425,P100743,278.3333333
2426,P430105,244
2427,P332287,77.3
2428,P433779,252
2429,P433277,241
2430,P373358,83
2431,P402463,345
2432,P150017,137
2433,P432054,269
2434,P432915,238
2435,P402089,290
2436,P373065,74.9
2437,P402188,193
2438,P372351,128.5
2439,P100814,115
2440,P342719,41
2442,P342700,103
2443,P510018,108
2444,P070735,243
2445,P070431,140
2446,P130341,310
2447,P430190,106.85
2448,P372670,78
2449,P452018,32
2450,P370782,240
2451,P390239,146
2452,P432494,96
2453,P134318,148
2454,P139024,130
2455,P322216,65
2456,P470113,72
2457,P412233,80
2458,P432872,385
2459,P180005,-100
2460,P100102,159
2461,P020046,136.0681818
2462,P040196,71
2463,P402476,47
2464,P433852,225
2465,P372004,-41
2466,P402407,255
2467,P342051,38.5
2468,P433416,243
2469,P370433,186
2470,P402357,198
2471,P370523,-0.95
2472,P070670,178
2473,P310015,-57.24
2474,P372019,152
2475,P340098,31.175
2476,P433176,358
2477,P374215,281
2478,P140025,46
2479,P322237,135
2480,P392650,28
2481,P432178,250
2482,P433291,324.6
2483,P412238,-26
2484,P130034,213.95
2485,P170034,13.1527027
2486,P090037,99.85
2487,P402224,319
2488,P460170,-3.9
2489,P322172,116
2490,P432920,254
2491,P374170,-0.5
2492,P430497,147
2493,P433146,305
2494,P050030,-32
2495,P342452,73.7125
2496,P402393,370
2497,P392231,28
2498,P472101,-5
2499,P402350,292
2500,P373716,176.35
2501,P390430,172
2502,P080021,-72
2503,P433075,167
2504,P372449,194
2505,P372599,131
2506,P342030,83
2507,P372122,154
2508,P392664,130
2509,P422035,227
2510,P090060,70.875
2511,P180038,4.48125
2512,P110210,57
2513,P040276,-8.15
2514,P512146,78.8
2515,P010001,-59.89572491
2516,P020130,143
2517,P472311,-5.15
2518,P430100,256
2519,P020042,50.44166667
2520,P402408,159
2521,P462398,165
2522,P180010,-56
2523,P500033,70.2
2524,P070369,111.2388934
2525,P430430,353.5
2526,P340068,137
2527,P040201,24
2528,P090526,73
2529,P342096,38
2530,P373670,134
2531,P472038,152
2532,P050045,101
2533,P412232,62
2534,P040254,193
2535,P402011,208
2536,P370422,251
2537,P180012,-0.986363636
2538,P433478,182
2539,P362021,27.48636364
2540,P430482,335
2541,P392097,72
2542,P342488,58
2543,P433041,235
2544,P130202,234
2545,P392085,220
2546,P090544,173
2547,P432807,280
2548,P370352,175
2549,P040332,109
2550,P374059,173
2551,P160060,391.85
2552,P130352,310
2553,P070692,156
2554,P134320,152
2555,P433372,128
2556,P080024,-74
2557,P100164,125
2558,P030105,59.5
2559,P372304,187
2560,P373661,121.8571429
2561,P460249,390
2562,P462656,76
2563,P370466,285.3333333
2564,P432529,75
2565,P460133,-77
2566,P370477,252
2567,P372248,32
2568,P430169,229
2569,P010019,-23
2570,P370391,103
2571,P130276,239
2572,P373017,240
2573,P210011,290
2574,P342521,127
2575,P373185,174.85
2576,P370304,196
2577,P130339,169.3
2578,P370031,125
2579,P392647,40
2580,P472279,104
2581,P070414,92
2582,P332011,170
2583,P340079,31
2584,P110206,15.85
2585,P044384,36.65
2586,P130367,366.4
2587,P432128,290
2588,P020039,87.25
2589,P340108,164
2590,P432367,140
2591,P342151,44.6
2592,P020058,161
2593,P060015,-20
2594,P020045,14.34
2595,P373096,172
2596,P374174,168
2597,P392681,162.8
2598,P330104,109
2599,P392014,-18
2600,P070637,243
2601,P430042,298.6
2602,P392056,57.86
2603,P382391,116
2604,P432325,260.5
2605,P100054,173
2606,P392648,28
2607,P450085,155
2608,P370115,275.6666667
2609,P430324,216.7
2610,P433737,270.2
2611,P342094,57
2612,P130163,341.5
2613,P070459,180
2614,P070209,72
2615,P400002,395
2616,P433276,239
2617,P374123,175
2618,P402232,220
2619,P432593,250
2620,P462554,145
2621,P390009,60
2622,P432749,321
2623,P090091,-41.48333333
2624,P130109,233.9157895
2625,P392573,-20
2626,P450078,128
2627,P382254,-38.8
2628,P130335,254.5
2629,P374360,121
2630,P090146,206
2631,P432306,157
2632,P472170,23.4
2633,P432685,214
2634,P482034,-5
2635,P412209,32
2636,P422020,235
2637,P433420,224
2638,P060017,-11.40425532
2639,P433855,297
2640,P332088,54
2641,P402470,124
2642,P382267,33
2643,P370010,80
2644,P400301,54.925
2645,P402501,164
2646,P050001,16.56818182
2647,P472007,-3
2648,P374198,112.65
2649,P332405,60.7
2650,P342701,51
2651,P332172,210.85
2652,P373063,124.8
2653,P402399,30
2654,P060023,20
2655,P432458,250
2656,P342347,44
2657,P010075,-32
2658,P430084,293
2659,P370772,167
2660,P382287,73
2661,P342135,70.5
2662,P080152,24
2663,P422005,-50
2664,P180023,-35
2665,P432667,236
2666,P320026,99.85
2667,P380085,175
2668,P332328,134
2669,P373541,-12.66666667
2670,P472158,-66.65
2671,P433563,177
2672,P373920,200
2673,P372013,162.7631579
2674,P130126,285
2675,P373303,175
2676,P050026,131.85
2677,P370677,135
2678,P174330,71.2
2679,P510017,108
2680,P433892,350
2681,P070638,437
2682,P472246,27
2683,P422004,48
2684,P373374,162
2685,P370501,15.35
2686,P342363,63
2687,P402472,106
2688,P440010,219
2689,P020017,177
2690,P373939,72
2691,P100078,94
2692,P460166,90
2693,P160065,320
2694,P382331,56.7
2695,P432808,259
2696,P462122,74
2697,P462548,150
2698,P340124,199
2699,P472248,42
2700,P320017,180
2701,P373246,225
2702,P433038,241
2703,P433271,210
2704,P342035,49.85
2705,P104293,215
2706,P100795,86
2707,P432961,156
2708,P370744,242
2709,P372114,171
2710,P400231,63
2711,P370034,155
2712,P390037,-40
2713,P432060,283.5
2714,P433534,251
2715,P392263,30
2716,P430261,220.8
2717,P433546,260
2718,P030146,55
2719,P432210,331
2720,P434004,298
2721,P432625,69
2722,P430332,356.5
2723,P432907,266
2724,P340011,23
2725,P373490,280
2726,P390058,24
2727,P100333,89
2728,P402235,225
2729,P370446,310
2730,P472167,38.1
2731,P430295,238
2732,P020099,74
2733,P412206,31.9
2734,P130198,233.6666667
2735,P432176,61
2736,P434026,302
2737,P312024,251.49375
2738,P462405,76.85
2739,P373098,230.8
2740,P024305,46.75
2741,P400026,34
2742,P372622,128
2743,P110087,69.17
2744,P452026,206
2745,P342195,8.5
2746,P372407,28
2747,P462133,110
2748,P470131,44
2749,P372138,210
2750,P433147,290
2751,P332020,110
2752,P433678,220
2753,P070483,175
2754,P370737,213
2755,P433089,280
2756,P110030,58
2757,P412118,145
2758,P432664,237
2759,P430252,252.6166667
2760,P370706,231
2761,P432353,278
2762,P373976,260
2763,P432120,-2
2764,P090560,128
2765,P372414,46
2766,P433328,206.4
2767,P070734,219
2768,P084485,91
2769,P373244,248
2770,P433055,320
2771,P380029,114.2
2772,P373294,60
2773,P322058,166
2774,P390021,158
2775,P100818,279
2776,P430071,61
2777,P372256,12.5
2778,P020153,203.3333333
2779,P370404,247.1277778
2780,P372162,89
2781,P432049,274
2782,P512149,58
2783,P070722,230
2784,P392261,41
2785,P432742,236
2786,P462229,232
2787,P070489,230
2788,P160092,70
2789,P380158,69
2790,P392490,352.5
2791,P432053,264
2792,P433978,283
2793,P070351,270
2794,P070460,365
2795,P070712,81
2796,P372182,200
2797,P322201,122
2798,P433371,130
2799,P373373,134
2800,P462536,209
2801,P433169,292
2802,P432561,256.9
2803,P370835,277
2804,P074471,254
2805,P340127,194.5
2806,P433150,171
2807,P373836,-8
2808,P373688,312
2809,P460130,-81
2810,P160059,291.71
2811,P402070,293
2812,P432899,254
2813,P433166,280
2814,P433586,341
2815,P373712,335
2816,P432874,67
2817,P402005,327
2818,P340084,40
2819,P160072,391.85
2820,P432111,340
2821,P450059,57.53333333
2822,P070327,-47.075
2823,P433227,275
2824,P374025,49
2825,P433229,280
2826,P512008,76.44444444
2827,P472260,32.4
2828,P430046,350
2829,P372688,187
2830,P322221,90
2831,P432056,275
2832,P040181,-76
2833,P430385,216
2834,P433734,255.6
2835,P433443,349
2836,P362038,204.7636364
2837,P144509,140
2838,P374006,62
2839,P372677,144
2840,P402241,253.2
2841,P432069,257.6666667
2842,P433594,180
2843,P372842,210
2844,P374093,130
2845,P372519,301
2846,P332292,-63
2847,P392739,247
2848,P372393,36
2849,P392169,54.6
2850,P462669,99
2851,P512025,33
2852,P372036,155
2853,P462647,212
2854,P432460,199
2855,P130103,164
2856,P174482,-30
2857,P402160,166
2858,P432502,142
2859,P372226,149.4
2860,P180040,-44.66666667
2861,P512158,73
2862,P372435,139
2863,P312038,138
2864,P433635,287
2865,P070634,226
2866,P332026,64.85
2867,P470134,93.8
2868,P110036,55
2869,P372937,7
2870,P390322,60
2871,P090627,132
2872,P322155,150
2873,P432145,252
2874,P392207,2
2875,P392245,152
2876,P332021,160
2877,P382506,174
2878,P512058,81
2879,P340115,197
2880,P452062,13
2881,P070500,201.6666667
2882,P433282,320
2883,P402008,175
2884,P372405,53
2885,P370691,208
2886,P432286,233
2887,P433181,360
2888,P432294,378
2889,P090555,110
2890,P372448,186
2891,P370494,276.6666667
2892,P430416,270
2893,P462553,145
2894,P070370,130.1333333
2895,P130168,324.6666667
2896,P430276,295
2897,P060004,-38
2898,P432686,210
2899,P433085,162
2900,P020053,-52
2901,P432530,76
2902,P332171,86.85
2903,P120039,46
2904,P432753,278
2905,P392118,112
2906,P430220,232
2907,P512068,201
2908,P070685,207
2909,P330114,49.6
2910,P020013,63
2911,P100556,214.5
2912,P462153,183
2913,P020012,72
2914,P402229,67
2915,P373241,125
2916,P090142,-27
2917,P372412,44
2918,P390046,229
2919,P342001,44.925
2920,P373379,186
2921,P070385,180
2922,P402189,270
2923,P100019,43.2
2924,P070126,-53
2925,P430431,385
2926,P030093,-79.825
2927,P390240,125
2928,P432654,327
2929,P090429,70
2930,P470043,-88
2931,P070353,263.11
2932,P030100,49.25
2933,P150029,198.7142857
2934,P432149,37
2935,P452056,68.1
2936,P040262,56.33333333
2937,P390416,92.4
2938,P432432,239
2939,P400076,92
2940,P090181,17.4
2941,P390379,113
2942,P372120,126
2943,P050003,-28.7631383
2944,P070416,85
2945,P430270,211
2946,P040255,128
2947,P110074,64
2948,P430308,201
2949,P130147,286
2950,P392117,175
2951,P450040,138
2952,P100162,112
2953,P460143,212
2954,P472312,61.1
2955,P010091,141
2956,P070140,87.25714286
2957,P432148,36
2958,P402343,128
2959,P130031,272.4
2960,P370170,119
2961,P100049,163
2962,P340015,-7
2963,P370329,64
2964,P370707,77.6
2965,P522041,152
2966,P372876,32
2967,P432761,216
2968,P433124,280
2969,P460180,-47.5
2970,P432245,280
2971,P342722,57
2972,P370112,73
2973,P434094,237
2974,P100143,294.5
2975,P462369,116.75
2976,P373857,145
2977,P372428,123.3333333
2978,P430129,188
2979,P390249,96.4
2980,P040030,-37
2981,P430396,318
2982,P074270,253
2983,P370735,152
2984,P433358,276
2985,P430258,217.5
2986,P432457,258
2987,P400236,38
2988,P090610,91.56666667
2989,P332336,29
2990,P130373,247
2991,P104376,366
2992,P392703,236
2993,P412021,58.5
2994,P434081,178
2995,P322031,18
2996,P374208,302
2997,P370798,276
