index,PID,Tg
367,P070420,115
368,P040325,12.68
369,P433120,323.4
370,P432413,360
371,P432806,265
372,P070661,62
373,P433122,360
374,P433721,208
375,P370722,195
376,P070629,-17
377,P432669,242
378,P134430,230
379,P432146,219
380,P110094,79
381,P372808,4.6
382,P100193,71
383,P090088,-60.55
384,P074486,152
385,P370619,-35.55
386,P332053,158.85
387,P432193,250
388,P460015,190
389,P340025,131
390,P370633,340
391,P402046,283.4
392,P440011,197
393,P070626,20
394,P120033,55
395,P402403,305
396,P100081,209
397,P130071,247
398,P100021,60.33333333
399,P382223,160
400,P462154,239
401,P030038,132
402,P070400,147
403,P090561,14.25
404,P322198,143
405,P084478,344
406,P382259,58.3
407,P390245,60.83333333
408,P433582,274
409,P100070,110
410,P040168,4
411,P160087,350
412,P372199,66.33333333
413,P452009,165
414,P180008,-94
415,P372254,50
416,P130200,231
417,P433197,267.85
418,P370689,263
419,P100397,-30.5
420,P030071,115.675
421,P400019,211
422,P070058,99
423,P382134,125
424,P332276,96.5
425,P372099,195
426,P433901,314
427,P372522,134
428,P430510,300
429,P040205,110
430,P432674,280
431,P020029,91
432,P382351,10
433,P433002,160
434,P160075,364.85
435,P070328,-58.075
436,P470127,-63
437,P372704,-54
438,P430068,123
439,P430299,266.5
440,P322219,132
441,P430384,193
442,P470144,-65
443,P342022,115
444,P130349,265
445,P432205,265
446,P372441,37
447,P402433,145.6
448,P433959,98
449,P433893,338.4384615
450,P430163,64.85
451,P433019,340
452,P460222,350
453,P433768,324
454,P332398,-30
455,P392551,105
456,P094550,273
457,P390378,83
458,P370380,327
459,P322138,103
460,P433236,248
461,P373581,30
462,P433242,217
463,P372530,185
464,P433078,160
465,P462406,86.85
466,P372034,174
467,P430148,267
468,P070279,53
469,P432364,160
470,P372061,-22
471,P412231,76
472,P342194,12.5
473,P430345,65
474,P392747,240
475,P030132,66.175
476,P130224,239
477,P130374,295
478,P370755,161
479,P472122,-66.4
480,P472243,61.1
481,P472014,7
482,P372356,116
483,P433725,187
484,P470047,55
485,P370129,-10
486,P372583,98
487,P400269,285
488,P432321,267.5
489,P373501,59
490,P433830,187.285
491,P412236,66
492,P373702,98
493,P373486,196
494,P432798,303
495,P430127,80
496,P432186,243
497,P370519,24.85
498,P372939,9
499,P402020,206
500,P332177,119.85
501,P074263,235
502,P402392,365
503,P040203,37
504,P130179,290.1
505,P412126,123
506,P433179,321
507,P090530,187
508,P392109,50
509,P470036,7.5
510,P160094,75
511,P342769,20.5
512,P392875,245
513,P100108,115
514,P392248,208
515,P460185,22
516,P340104,-57.15
517,P430315,282
518,P373861,120
519,P433386,219
520,P373650,220
521,P020093,95
522,P370343,155
523,P370839,258
524,P090065,279
525,P030113,55.675
526,P440008,260
527,P130020,263.9115385
528,P070390,234
529,P322232,105
530,P433132,281.1
531,P370372,217.7170588
532,P430494,330.6666667
533,P432772,243
534,P430226,188
535,P070717,45
536,P373099,197
537,P380106,6
538,P372022,238
539,P340102,168.875
540,P332293,-57
541,P020077,10
542,P390323,50
543,P502001,229
544,P432039,120
545,P432319,249
546,P433018,341
547,P342207,42
548,P392209,44
549,P110029,55
550,P433184,339
551,P070743,256
552,P070674,311
553,P430249,241.85
554,P372798,-87
555,P430273,205
556,P432404,201
557,P500024,126
558,P040234,18.125
559,P070357,265.28
560,P322111,-3
561,P382123,279
562,P080086,-54.33333333
563,P402453,260
564,P432072,167
565,P322082,102.2
566,P373679,74
567,P433026,277
568,P080176,8
569,P373607,49
570,P320003,13
571,P433134,252.2
572,P462492,75.5
573,P430386,204
574,P373124,120
575,P430478,364.6
576,P090510,109
577,P372121,114
578,P130211,230
579,P433488,354.5
580,P070007,-41.15
581,P430213,237
582,P430058,126
583,P432197,250
584,P044385,35.75
585,P430272,201
586,P460257,370
587,P370441,178.6666667
588,P390426,205
589,P370364,205
590,P342400,149
591,P130357,340
592,P080036,-76
593,P433222,311
594,P074400,200
595,P074466,226
596,P430435,368
597,P340019,123.85
598,P433360,295
599,P430286,416
600,P432166,193
601,P430288,280
602,P432011,329.3333333
603,P402045,248.4
604,P074450,149
605,P433706,278
606,P372504,31
607,P432208,277
608,P100759,130
609,P090574,140
610,P370711,179
611,P512074,208
612,P100548,350
613,P412173,136.4
614,P433602,101
615,P210016,215
616,P433027,236
617,P040147,-64.66428571
618,P392123,67.66666667
619,P044514,58
620,P322057,105
621,P374180,163
622,P340097,76.85
623,P373598,112
624,P432577,260
625,P452036,250
626,P432079,78
627,P370349,137.7444444
628,P373384,174
629,P330116,34
630,P432610,205
631,P432506,243
632,P512152,60
633,P100338,105
634,P400329,84
635,P372076,53
636,P080097,95.63891304
637,P360012,180
638,P130176,191
639,P433601,117.5
640,P392738,248
641,P074566,130
642,P020065,165
643,P373869,143
644,P040085,79.85
645,P430131,148.94
646,P432755,258
647,P342749,-24.086
648,P512061,29
649,P330076,80
650,P312014,-88.15
651,P374192,223
652,P372067,-0.3
653,P100325,113
654,P433486,355
655,P373744,181.75
656,P430391,110
657,P340180,32
658,P070575,230
659,P130154,241.3333333
660,P070727,289
661,P070567,52.07142857
662,P402091,240
663,P130219,199
664,P430219,235
665,P373368,240.5
666,P462487,177
667,P472255,43.3
668,P432993,324
669,P040274,54.85
670,P433675,214
671,P434042,315
672,P433141,191
673,P074477,309
674,P180029,30
675,P432223,255
676,P020062,135.6166667
677,P180034,1.37
678,P380053,-36.45
679,P320024,156
680,P020040,86
681,P322019,-1.15
682,P373943,140.3
683,P164494,67
684,P342131,12
685,P074438,174
686,P134363,70
687,P372055,-6
688,P130227,198
689,P433235,245
690,P020055,4.5
691,P342159,70
692,P090553,9
693,P402187,203.5
694,P412122,130
695,P512117,118
696,P374013,261
697,P430101,258
698,P030141,80
699,P450056,30
700,P090583,47
701,P030150,84.5
702,P373957,9
703,P130012,322
704,P090636,134
705,P432160,60
706,P342037,12
707,P372551,65
708,P432492,93
709,P372512,294.5
710,P433148,330
711,P433007,253
712,P070323,-28.075
713,P433463,265
714,P462609,264
715,P462247,197
716,P342103,51
717,P430179,241
718,P382501,-71
719,P402006,339
720,P392232,63
721,P430368,211
722,P412273,148
723,P370320,89
724,P070394,45.84166667
725,P342404,42.85
726,P430355,101
727,P340021,50
728,P432914,262
729,P433605,177
730,P412212,150
731,P372224,220
732,P512122,141
733,P374080,225
734,P373243,195
735,P432488,110
736,P392214,68
737,P433224,290
738,P104434,157
739,P370740,162
740,P400351,121
741,P422062,178
742,P433218,238
743,P433790,191
744,P373586,166
745,P512213,154
746,P342526,143.5
747,P434019,297
748,P322014,24.85
749,P432101,274
750,P432912,286
751,P070170,10
752,P090105,-17
753,P342111,57
754,P040052,26.58851852
755,P094358,117
756,P402081,154
757,P430222,195
758,P433362,307
759,P372163,81
760,P020126,135
761,P382295,202
762,P432062,224
763,P512199,306
764,P070624,28
765,P342123,88
766,P432756,235.02
767,P472307,80
768,P090016,-45
769,P432603,236
770,P374179,286
771,P090055,-30.875
772,P370837,248
773,P372309,77
774,P432434,305
775,P462611,279
776,P100151,194
777,P434087,227
778,P070396,60
779,P382045,98
780,P372136,189
781,P070474,205
782,P382305,22.5
783,P322033,54
784,P372799,-94
785,P450052,49.8
786,P382124,281
787,P342419,45
788,P370090,73
789,P392262,34
790,P040184,-58
791,P109023,103
792,P373899,248
793,P370705,233
794,P370637,300
795,P392196,60
796,P340065,24.7125
797,P433013,222
798,P434006,340
799,P370796,281
800,P164458,333
801,P040206,9.25
802,P020191,92
803,P392536,92
804,P373094,197.5
805,P374160,35
806,P432465,75.76
807,P010004,-32.55714286
808,P020143,104
809,P452075,-20.5
810,P030014,107.4533898
811,P390055,118
812,P433668,187
813,P392092,110
814,P094604,285
815,P392127,27.5
816,P130209,260
817,P402499,235
818,P472209,-12
819,P472002,37.33333333
820,P070639,300
821,P430278,232
822,P392121,40
823,P402483,311
824,P432791,219
825,P090038,150
826,P373815,248
827,P402010,171
828,P430448,286
829,P462284,64.5
830,P342343,43
831,P372085,262
832,P482033,-81.8
833,P434051,131
834,P392227,59
835,P432001,408
836,P430328,340
837,P433211,222
838,P330047,190
839,P402051,177
840,P430014,309.8333333
841,P432511,184
842,P373786,158.17
843,P512064,181
844,P040241,55
845,P070714,75
846,P433422,246
847,P373105,117
848,P100203,64.925
849,P373580,257.3333333
850,P100122,165
851,P030140,20
852,P430141,328
853,P372119,170
854,P372575,34.85
855,P432900,262
856,P462547,150
857,P029029,86.25769231
858,P462087,43.5
859,P342425,64
860,P472001,-70.15
861,P372379,85
862,P040275,39.925
863,P472032,-12.6
864,P332170,107.85
865,P342342,40
866,P100080,17
867,P433757,294
868,P373188,123.5916667
869,P100056,165
870,P432477,315
871,P312031,350
872,P433329,225.2
873,P370647,84
874,P342280,106.2
875,P100029,48
876,P430362,52
877,P370021,207
878,P390324,-20
879,P100053,149
880,P342080,100
881,P472214,94
882,P373416,141
883,P472093,37.85
884,P430353,39
885,P030037,-73.15
886,P412261,172
887,P432162,302
888,P342039,48.85
889,P030152,71.5
890,P462129,-20
891,P433606,160
892,P460054,-75
893,P430243,125
894,P433250,288
895,P090354,-50
896,P373446,79
897,P402012,222
898,P120024,47
899,P412020,29.05
900,P370009,222.85
901,P372525,55
902,P430458,250
903,P392205,75
904,P432427,249
905,P402502,140
906,P110052,-45
907,P130266,373
908,P030010,51.14812785
909,P372413,66
910,P373780,78
911,P070208,69.5
912,P130173,246
913,P390204,252
914,P433145,298
915,P322148,217.5
916,P332024,12.85
917,P433133,265.4
918,P373865,182
919,P402446,275
920,P372044,211
921,P070594,147
922,P040037,-61.5
923,P372871,22
924,P080006,-24
925,P074409,275.35
926,P040212,146.3333333
927,P010097,-47
928,P433237,299
929,P392654,23
930,P450014,90
931,P432007,221
932,P320064,53.33333333
933,P040116,124.85
934,P433315,300
935,P020112,102.775
936,P430483,352
937,P460138,225
938,P450003,161
939,P412158,152
940,P402086,300
941,P450065,-5
942,P390414,319
943,P090367,43.25
944,P090631,42.83333333
945,P040099,54.05
946,P322140,76.55
947,P372098,100
948,P340069,126.85
949,P322163,74
950,P372123,241
951,P373601,85
952,P372403,55
953,P430394,280
954,P390061,33
955,P084394,128
956,P372659,8
957,P432563,245.1
958,P040068,88.85
959,P460014,234
960,P432322,252.5
961,P040230,44.85
962,P434056,157
963,P372938,17
964,P432507,208
965,P040082,62
966,P450047,101
967,P432267,345
968,P074322,78
969,P430099,262
970,P373176,253
971,P412217,44
972,P342049,103.2833333
973,P370361,205
974,P373985,288
975,P030011,73.33333333
976,P372406,18
977,P432971,327
978,P342351,16.25
979,P430347,75
980,P372579,232
981,P412121,135
982,P430496,283
983,P432775,212
984,P104576,155
985,P340082,81.85
986,P370838,230
