smile,Tg_1,Tg_pred
O=C(c1ccc2c(c1)C(=O)N(C2=O)*)c1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)*)C,569,681.6235718
*c1cc(C)c(c(c1)C)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,838,681.1447205
*c1cc(C)c(c(c1)C)C(=O)c1ccc(nc1)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)cc(cc2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,522,680.8945984
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)Oc1ccc(cn1)Oc1c(C)cc(c(c1C)*)C)C)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,477,680.8570923
*c1cc(cc(c1)C(=O)O)N1C(=O)c2c(C1=O)cccc2C(=O)c1cccc2c1C(=O)N(C2=O)*,598,680.4022583
O=C1c2cc(ccc2C(=O)N1c1c(C)cc(cc1C)C(=O)c1cc2c(cc1C)c1c(S2(=O)=O)cc(c(c1)C)C(=O)c1cc(C)c(c(c1)C)*)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,547,680.3431458
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)Cc1c(C)cc(c(c1C)*)C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,503,679.9042419
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)Cc1ccc(cn1)Cc1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,508,678.9380859
*c1ccc(cc1)Oc1ccc(cc1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*,649,678.6183838
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(c(c1C)C(=O)c1c(C)cc(c(c1C)*)C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,510,678.0638794
*c1ccc(c(c1)C(c1ccc(c(c1)N1C(=O)c2c(C1=O)cc(cc2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*)C)(C)C)C,461,677.8693909
*c1ccc2c(c1)[nH]c1c2ccc(c1)N1C(=O)c2c(C1=O)cccc2c1ccc2c(c1)C(=O)N(C2=O)*,545,677.7851929
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(=O)c1ccc(cc1C)C(=O)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,531,677.7090515
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(=O)c1ccc(cn1)C(=O)c1cc(C)c(c(c1)C)*)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,522,676.7688354
*c1cc(C)c(c(c1)C)C(c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*)(C)C,535,676.4821838
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)C(=O)c1ccc(c(c1)Cl)C(=O)c1c(C)cc(c(c1C)*)C)C)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,503,676.359198
O=C1c2cccc(c2C(=O)N1c1c(C)cc(c(c1C)*)C)c1cccc2c1C(=O)N(C2=O)*,599,676.30625
O=C1c2ccc(cc2C(=O)N1c1c(C)cc(c(c1C)*)C)Sc1ccc2c(c1)C(=O)N(C2=O)*,519,675.586615
*c1ccc(nc1)Cc1c(C)cc(c(c1C)Cc1ccc(cn1)n1c(=O)c2c(c1=O)cc1c(c2)c(=O)n(c1=O)*)C,547,675.1862549
O=C1c2cc(ccc2C(=O)N1c1c(C)cc(c(c1C)*)C)Cc1cccc(c1)Cc1ccc2c(c1)C(=O)N(C2=O)*,499,674.6519836
Cc1cc(cc(c1Oc1ccc2c(c1)C(=O)N(C2=O)c1c(C)cc(cc1C)C(c1cc(C)c(c(c1)C)*)(C)C)C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,535,674.4463257
O=C1c2cccc(c2C(=O)N1c1cccc(c1C)*)c1cccc2c1C(=O)N(C2=O)*,591,674.0184692
*c1cc(cc(c1)C(=O)O)N1C(=O)c2c(C1=O)c(ccc2)c1ccc2c(c1)C(=O)N(C2=O)*,635,673.9751648
Clc1cc(cc(c1)C(=O)c1cc(C)c(c(c1)C)*)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,511,673.9519104
*c1cc(C)c(c(c1)C)C(=O)c1cc(C)c(c(c1)C)N1C(=O)c2c(C1=O)ccc(c2)Oc1c(C)cc(cc1C)c1cc(C)c(c(c1)C)Oc1ccc2c(c1)C(=O)N(C2=O)*,537,673.7125916
